"Begriff","Definition"
"Usability-Testaufgabe","Eine Beschreibung einer typischen Aufgabe, die ein Moderator einem Usability-Testteilnehmer während eines Usability-Tests stellt. "
"Usability-Testbericht","Ein Dokument, das die Ergebnisse eines Usability-Tests beschreibt. 
Anmerkungen:
1.	Ein Usability-Testbericht beinhaltet üblicherweise 
a.	Eine Kurzdarstellung, 
b.	5-50 Usability-Befunde (auch positive),
c.	Das Usability-Testskript für den Usability-Test. 
d.	Oft umfasst der Usability-Testbericht auch Screenshots oder Bilder die die Beschreibungen von wichtigen Usability-Befunden ergänzen.
2.	Wird auch nur als Testbericht bezeichnet."
"Usability-Tester","Eine Person die Benutzungsschnittstellen in verschiedenen Stadien der Realisierung evaluiert. 
Anmerkungen:
1.	In Kooperation mit anderen Interessensvertretern, muss der Usability-Tester
a.	die Usability-Evaluierungen planen
b.	die Usability-Evaluierungen leiten
c.	die Usability-Testergebnisse an die Interessenvertreter kommunizieren.
2.	Während einer Usability-Testsitzung übernimmt der Usability-Tester die Rolle des Moderators oder des Protokollanten.
3.	Usability-Tester ist eine Rolle im Prozess der menschzentrierten Gestaltung."
"Usability-Test­ergebnis","Siehe Usability-Befund."
"Usability-Testplan","Eine kurze Beschreibung des Zwecks und Umfangs eines Usability-Tests. 
Anmerkungen:
1.	Der Usability-Testplan ist für das Management vorgesehen, um entscheiden zu können, ob der Usability-Test durchgeführt werden sollte oder nicht. Der Plan ist absichtlich kurz gehalten und fokussiert auf die für den Usability-Test benötigten Ressourcen.
2.	Der Usability-Testplan beinhaltet 
a.	Die Anzahl geplanter Usability-Testteilnehmer, 
b.	Die ungefähre Länge jeder Usability-Testsitzung, 
c.	Den Namen des Moderators, 
d.	Einen Zeitplan, 
e.	Eine Kostenschätzung für den Usability-Test einschließlich Personenstunden.
3.	Weitere Details über den Usability-Test wie z.B. Usability-Testaufgaben, Testmethode und erforderliche Soft- und Hardware werden im Usability-Testskript bereitgestellt."
"Usability-Testsitzung","Der Teil eines Usability-Tests, bei dem ein bestimmter Usability-Testteilnehmer repräsentative Usability-Testaufgaben unter Benutzung des interaktiven Systems oder des Prototypen eines interaktiven Systems löst.
Anmerkungen:
1.	Typische Aufgaben des Moderators während einer Usability-Testsitzung sind:
a.	Begrüßung des Usability-Testteilnehmers;
b.	Durchführung des Briefings und des Pre-Session Interviews;
c.	Übergabe von Usability-Testaufgaben an den Usability-Testteilnehmer.
d.	Beobachtung des jeweiligen Usability-Testteilnehmers während der Erledigung der Aufgaben;
e.	Durchführung des Post-Session Interviews.
2.	Vergleiche mit Usability-Test."
"Usability-Testskript","Eine von einem Moderator in einem Usability-Test verwendete Checkliste, um den Überblick über die Fragen des Briefings und des Pre-Session Interviews, die Usability-Testaufgaben und die Fragen des Post-Session Interviews zu behalten."
"Usability-Testteilnehmer","Repräsentativer Benutzer, der typische Aufgaben in einem Usability-Test löst."
"User Interface Designer","Eine Person die den Dialog und das Benutzererlebnis basierend auf dem Design des  Interaktions­designers und den Nutzungsszenarios des User Requirements Engineers implementiert. Der User Interface Designer erzeugt ausserdem interaktive Prototypen.
Anmerkung:
1.	User Interface Designer ist eine Rolle im Prozess der menschzentrierten Gestaltung."
"User Requirements Engineer","Eine Person die den tatsächlichen oder geplanten Nutzungskontext von Benutzern identifiziert und beschreibt. Daraus leitet der User Requirements Engineer die Nutzungsanforderungen und damit verbundene organisatorische Anforderungen ab, die für ein bestimmtes Projekt umgesetzt werden müssen. 
Anmerkungen:
1.	Der User Requirements Engineer identifiziert den Nutzungskontext durch Methoden wie Benutzerinterviews, Beobachtungen, Benutzerbefragungen, Usability-Evaluierungen, Expertenanalysen usw.
2.	Der User Requirements Engineer erzeugt Nutzungs­szenarien, die die Effektivität, Effizienz und Zufriedenstellung bei der Aufgabenerledigung mit dem interaktiven System sicherstellen sollen.
3.	User Requirements Engineer ist eine Rolle im Prozess der menschzentrierten Gestaltung."
"Wireframe","Eine Form des Low-fidelity-Prototyps bestehend aus schematischen Diagrammen, typischerweise dargestellt mit Linien, rechteckigen Kästen und Text der das Interaktionsdesign und den Navigationsfluss repräsentiert.
Anmerkungen:
1.	Wireframes adressieren üblicherweise nicht das visuelle Design und das genaue Layout.
2.	Ein Wireframe ist ein Mockup (Modell, Attrappe) eines Bildschirms. Eine adäquate Sammlung von Wireframes formt einen Low-fidelity-Prototyp.
3.	Auf Deutsch auch „Drahtgeflecht“ genannt."
"Ziel","Angestrebtes Arbeitsergebnis."
"Zufrieden­stellung","Freiheit von Beeinträchtigung und positive Grundeinstellung zur Nutzung des Produkts
Anmerkungen:
1.	Der neue Vorschlag der ISO Definition könnte etwas einfacher zu verstehen sein: Einstellungen bezogen auf die Verwendung des interakiven Systems und die emotionalen und physischen Folgen der tatsächlichen Verwendung.
2.	Zufriedenstellung ist eines der drei Meßbaren Attribute von Usability. Die anderen beiden sind Effektivität und Effizienz.
3. 	Zufriedenstellung kann mit Fragebögen gemessen werden."
